
 Low-frequency dielectric function
   59.000000                  5.643273291000E+00             1.324497006721E-03
   59.500000                  5.647717297242E+00             1.341952159062E-03
   60.000000                  5.652219823096E+00             1.359609672554E-03
   60.500000                  5.656781549746E+00             1.377473555181E-03
   61.000000                  5.661403171883E+00             1.395547903513E-03
   61.500000                  5.666085398004E+00             1.413836905189E-03
   62.000000                  5.670828950719E+00             1.432344841498E-03
   62.500000                  5.675634567070E+00             1.451076090033E-03
   63.000000                  5.680502998855E+00             1.470035127437E-03
   63.500000                  5.685435012960E+00             1.489226532231E-03
   64.000000                  5.690431391710E+00             1.508654987747E-03
   64.500000                  5.695492933217E+00             1.528325285143E-03
   65.000000                  5.700620451749E+00             1.548242326531E-03
   65.500000                  5.705814778103E+00             1.568411128200E-03
   66.000000                  5.711076759990E+00             1.588836823953E-03
   66.500000                  5.716407262435E+00             1.609524668552E-03
   67.000000                  5.721807168187E+00             1.630480041281E-03
   67.500000                  5.727277378136E+00             1.651708449634E-03
   68.000000                  5.732818811748E+00             1.673215533119E-03
   68.500000                  5.738432407515E+00             1.695007067205E-03
   69.000000                  5.744119123411E+00             1.717088967398E-03
   69.500000                  5.749879937366E+00             1.739467293457E-03
   70.000000                  5.755715847759E+00             1.762148253761E-03
   70.500000                  5.761627873912E+00             1.785138209830E-03
   71.000000                  5.767617056618E+00             1.808443681002E-03
   71.500000                  5.773684458667E+00             1.832071349275E-03
   72.000000                  5.779831165402E+00             1.856028064328E-03
   72.500000                  5.786058285283E+00             1.880320848713E-03
   73.000000                  5.792366950474E+00             1.904956903238E-03
   73.500000                  5.798758317446E+00             1.929943612549E-03
   74.000000                  5.805233567600E+00             1.955288550908E-03
   74.500000                  5.811793907907E+00             1.980999488186E-03
   75.000000                  5.818440571572E+00             2.007084396076E-03
   75.500000                  5.825174818717E+00             2.033551454533E-03
   76.000000                  5.831997937087E+00             2.060409058461E-03
   76.500000                  5.838911242775E+00             2.087665824639E-03
   77.000000                  5.845916080979E+00             2.115330598918E-03
   77.500000                  5.853013826771E+00             2.143412463680E-03
   78.000000                  5.860205885903E+00             2.171920745591E-03
   78.500000                  5.867493695634E+00             2.200865023639E-03
   79.000000                  5.874878725585E+00             2.230255137491E-03
   79.500000                  5.882362478619E+00             2.260101196165E-03
   80.000000                  5.889946491757E+00             2.290413587044E-03
   80.500000                  5.897632337123E+00             2.321202985239E-03
   81.000000                  5.905421622913E+00             2.352480363325E-03
   81.500000                  5.913315994409E+00             2.384257001451E-03
   82.000000                  5.921317135020E+00             2.416544497867E-03
   82.500000                  5.929426767358E+00             2.449354779856E-03
   83.000000                  5.937646654359E+00             2.482700115120E-03
   83.500000                  5.945978600430E+00             2.516593123614E-03
   84.000000                  5.954424452651E+00             2.551046789872E-03
   84.500000                  5.962986102004E+00             2.586074475828E-03
   85.000000                  5.971665484660E+00             2.621689934174E-03
   85.500000                  5.980464583300E+00             2.657907322259E-03
   86.000000                  5.989385428490E+00             2.694741216582E-03
   86.500000                  5.998430100101E+00             2.732206627879E-03
   87.000000                  6.007600728786E+00             2.770319016856E-03
   87.500000                  6.016899497500E+00             2.809094310580E-03
   88.000000                  6.026328643094E+00             2.848548919578E-03
   88.500000                  6.035890457943E+00             2.888699755664E-03
   89.000000                  6.045587291658E+00             2.929564250543E-03
   89.500000                  6.055421552845E+00             2.971160375214E-03
   90.000000                  6.065395710940E+00             3.013506660232E-03
   90.500000                  6.075512298105E+00             3.056622216854E-03
   91.000000                  6.085773911205E+00             3.100526759129E-03
   91.500000                  6.096183213849E+00             3.145240626968E-03
   92.000000                  6.106742938524E+00             3.190784810247E-03
   92.500000                  6.117455888795E+00             3.237180974007E-03
   93.000000                  6.128324941604E+00             3.284451484792E-03
   93.500000                  6.139353049655E+00             3.332619438197E-03
   94.000000                  6.150543243886E+00             3.381708687680E-03
   94.500000                  6.161898636049E+00             3.431743874712E-03
   95.000000                  6.173422421389E+00             3.482750460341E-03
   95.500000                  6.185117881429E+00             3.534754758223E-03
   96.000000                  6.196988386869E+00             3.587783969234E-03
   96.500000                  6.209037400605E+00             3.641866217719E-03
   97.000000                  6.221268480867E+00             3.697030589480E-03
   97.500000                  6.233685284492E+00             3.753307171604E-03
   98.000000                  6.246291570328E+00             3.810727094223E-03
   98.500000                  6.259091202788E+00             3.869322574320E-03
   99.000000                  6.272088155541E+00             3.929126961696E-03
   99.500000                  6.285286515375E+00             3.990174787216E-03
  100.000000                  6.298690486213E+00             4.052501813474E-03
  100.500000                  6.312304393307E+00             4.116145088006E-03
  101.000000                  6.326132687614E+00             4.181142999203E-03
  101.500000                  6.340179950363E+00             4.247535335084E-03
  102.000000                  6.354450897823E+00             4.315363345095E-03
  102.500000                  6.368950386275E+00             4.384669805109E-03
  103.000000                  6.383683417224E+00             4.455499085830E-03
  103.500000                  6.398655142823E+00             4.527897224793E-03
  104.000000                  6.413870871560E+00             4.601912002188E-03
  104.500000                  6.429336074197E+00             4.677593020728E-03
  105.000000                  6.445056389983E+00             4.754991789834E-03
  105.500000                  6.461037633158E+00             4.834161814376E-03
  106.000000                  6.477285799755E+00             4.915158688277E-03
  106.500000                  6.493807074729E+00             4.998040193278E-03
  107.000000                  6.510607839421E+00             5.082866403186E-03
  107.500000                  6.527694679377E+00             5.169699793970E-03
  108.000000                  6.545074392551E+00             5.258605360071E-03
  108.500000                  6.562753997898E+00             5.349650737334E-03
  109.000000                  6.580740744395E+00             5.442906332998E-03
  109.500000                  6.599042120504E+00             5.538445463209E-03
  110.000000                  6.617665864109E+00             5.636344498555E-03
  110.500000                  6.636619972951E+00             5.736683018173E-03
  111.000000                  6.655912715588E+00             5.839543972996E-03
  111.500000                  6.675552642925E+00             5.945013858774E-03
  112.000000                  6.695548600328E+00             6.053182899536E-03
  112.500000                  6.715909740371E+00             6.164145242237E-03
  113.000000                  6.736645536253E+00             6.277999163349E-03
  113.500000                  6.757765795927E+00             6.394847288262E-03
  114.000000                  6.779280676974E+00             6.514796824408E-03
  114.500000                  6.801200702286E+00             6.637959809085E-03
  115.000000                  6.823536776600E+00             6.764453373069E-03
  115.500000                  6.846300203938E+00             6.894400021156E-03
  116.000000                  6.869502706006E+00             7.027927930904E-03
  116.500000                  6.893156441633E+00             7.165171270922E-03
  117.000000                  6.917274027292E+00             7.306270540196E-03
  117.500000                  6.941868558800E+00             7.451372930042E-03
  118.000000                  6.966953634259E+00             7.600632710441E-03
  118.500000                  6.992543378328E+00             7.754211642638E-03
  119.000000                  7.018652467919E+00             7.912279420078E-03
  119.500000                  7.045296159410E+00             8.075014139914E-03
  120.000000                  7.072490317486E+00             8.242602807545E-03
  120.500000                  7.100251445720E+00             8.415241876837E-03
  121.000000                  7.128596719018E+00             8.593137828971E-03
  121.500000                  7.157544018059E+00             8.776507793071E-03
  122.000000                  7.187111965882E+00             8.965580212121E-03
  122.500000                  7.217319966771E+00             9.160595557977E-03
  123.000000                  7.248188247610E+00             9.361807099659E-03
  123.500000                  7.279737901897E+00             9.569481729498E-03
  124.000000                  7.311990936607E+00             9.783900852191E-03
  124.500000                  7.344970322141E+00             1.000536134228E-02
  125.000000                  7.378700045578E+00             1.023417657614E-02
  125.500000                  7.413205167508E+00             1.047067754520E-02
  126.000000                  7.448511882715E+00             1.071521405779E-02
  126.500000                  7.484647585027E+00             1.096815603768E-02
  127.000000                  7.521640936665E+00             1.122989492846E-02
  127.500000                  7.559521942466E+00             1.150084521361E-02
  128.000000                  7.598322029373E+00             1.178144606332E-02
  128.500000                  7.638074131651E+00             1.207216312033E-02
  129.000000                  7.678812782294E+00             1.237349043828E-02
  129.500000                  7.720574211175E+00             1.268595258770E-02
  130.000000                  7.763396450511E+00             1.301010694640E-02
  130.500000                  7.807319448297E+00             1.334654619296E-02
  131.000000                  7.852385190415E+00             1.369590102411E-02
  131.500000                  7.898637832205E+00             1.405884311940E-02
  132.000000                  7.946123840362E+00             1.443608837902E-02
  132.500000                  7.994892146118E+00             1.482840046408E-02
  133.000000                  8.044994310769E+00             1.523659467212E-02
  133.500000                  8.096484704732E+00             1.566154218431E-02
  134.000000                  8.149420701423E+00             1.610417472611E-02
  134.500000                  8.203862887422E+00             1.656548968760E-02
  135.000000                  8.259875290542E+00             1.704655575630E-02
  135.500000                  8.317525627597E+00             1.754851912194E-02
  136.000000                  8.376885573895E+00             1.807261032032E-02
  136.500000                  8.438031056705E+00             1.862015179287E-02
  137.000000                  8.501042575225E+00             1.919256624856E-02
  137.500000                  8.566005549883E+00             1.979138592711E-02
  138.000000                  8.633010704166E+00             2.041826287612E-02
  138.500000                  8.702154482549E+00             2.107498037109E-02
  139.000000                  8.773539508594E+00             2.176346562587E-02
  139.500000                  8.847275087770E+00             2.248580396290E-02
  140.000000                  8.923477760191E+00             2.324425463809E-02
  140.500000                  9.002271909149E+00             2.404126854481E-02
  141.000000                  9.083790432112E+00             2.487950805652E-02
  141.500000                  9.168175481809E+00             2.576186930829E-02
  142.000000                  9.255579286093E+00             2.669150726606E-02
  142.500000                  9.346165056524E+00             2.767186398946E-02
  143.000000                  9.440107997080E+00             2.870670056171E-02
  143.500000                  9.537596426114E+00             2.980013324055E-02
  144.000000                  9.638833026654E+00             3.095667448037E-02
  144.500000                  9.744036242542E+00             3.218127959015E-02
  145.000000                  9.853441840611E+00             3.347939992991E-02
  145.500000                  9.967304662432E+00             3.485704371414E-02
  146.000000                  1.008590059300E+01             3.632084569130E-02
  146.500000                  1.020952877841E+01             3.787814721161E-02
  147.000000                  1.033851412992E+01             3.953708849160E-02
  147.500000                  1.047321015874E+01             4.130671524595E-02
  148.000000                  1.061400219336E+01             4.319710230136E-02
  148.500000                  1.076131104127E+01             4.521949735521E-02
  149.000000                  1.091559716818E+01             4.738648872013E-02
  149.500000                  1.107736548232E+01             4.971220173940E-02
  150.000000                  1.124717082827E+01             5.221252961356E-02
  150.500000                  1.142562431654E+01             5.490540570454E-02
  151.000000                  1.161340064074E+01             5.781112605870E-02
  151.500000                  1.181124656712E+01             6.095273301915E-02
  152.000000                  1.201999082152E+01             6.435647351765E-02
  152.500000                  1.224055564973E+01             6.805234913500E-02
  153.000000                  1.247397039112E+01             7.207477954711E-02
  153.500000                  1.272138748689E+01             7.646340687574E-02
  154.000000                  1.298410144812E+01             8.126407621114E-02
  154.500000                  1.326357144208E+01             8.653003782358E-02
  155.000000                  1.356144832868E+01             9.232343025072E-02
  155.500000                  1.387960720438E+01             9.871712183641E-02
  156.000000                  1.422018680848E+01             1.057970132582E-01
  156.500000                  1.458563754109E+01             1.136649377980E-01
  157.000000                  1.497878037132E+01             1.224423434983E-01
  157.500000                  1.540287962971E+01             1.322750077113E-01
  158.000000                  1.586173365843E+01             1.433391285855E-01
  158.500000                  1.635978864724E+01             1.558492730002E-01
  159.000000                  1.690228288067E+01             1.700688568193E-01
  159.500000                  1.749543131455E+01             1.863241232809E-01
  160.000000                  1.814666427648E+01             2.050230203692E-01
  160.500000                  1.886493975328E+01             2.266810421541E-01
  161.000000                  1.966115715760E+01             2.519571324194E-01
  161.500000                  2.054871323686E+01             2.817043903503E-01
  162.000000                  2.154426053286E+01             3.170429857487E-01
  162.500000                  2.266876002514E+01             3.594671376283E-01
  163.000000                  2.394897021903E+01             4.110056320803E-01
  163.500000                  2.541959935265E+01             4.744688379821E-01
  164.000000                  2.712649263878E+01             5.538398881696E-01
  164.500000                  2.913148542969E+01             6.549148352075E-01
  165.000000                  3.152003418622E+01             7.863907770071E-01
  165.500000                  3.441367365607E+01             9.617994688131E-01
  166.000000                  3.799127573336E+01             1.203129527064E+00
  166.500000                  4.252731991742E+01             1.548058458825E+00
  167.000000                  4.846545963119E+01             2.065574188848E+00
  167.500000                  5.657211623667E+01             2.893262032450E+00
  168.000000                  6.829355268281E+01             4.338809969579E+00
  168.500000                  8.671667898523E+01             7.211588042722E+00
  169.000000                  1.197633575709E+02             1.424673911405E+01
  169.500000                  1.949931635142E+02             3.991456670003E+01
  170.000000                  4.494615125795E+02             3.076122118169E+02
  170.500000                 -3.900590057836E+02             2.091087803219E+02
  171.000000                 -1.718680620250E+02             3.372919967170E+01
  171.500000                 -1.057021727542E+02             1.284539347997E+01
  172.000000                 -7.541054157375E+01             6.694053961102E+00
  172.500000                 -5.815531028454E+01             4.093967039088E+00
  173.000000                 -4.703277188761E+01             2.758788460756E+00
  173.500000                 -3.927292893472E+01             1.983979200328E+00
  174.000000                 -3.355325840098E+01             1.494893164709E+00
  174.500000                 -2.916359075646E+01             1.166586502537E+00
  175.000000                 -2.568879538189E+01             9.356155815930E-01
  175.500000                 -2.287009648772E+01             7.669952230293E-01
  176.000000                 -2.053784277684E+01             6.401517667000E-01
  176.500000                 -1.857620083721E+01             5.423456299076E-01
  177.000000                 -1.690339252568E+01             4.653467861137E-01
  177.500000                 -1.546004150152E+01             4.036467305730E-01
  178.000000                 -1.420199681681E+01             3.534459581571E-01
  178.500000                 -1.309574828199E+01             3.120551092284E-01
  179.000000                 -1.211540388514E+01             2.775273479859E-01
  179.500000                 -1.124064186860E+01             2.484252974559E-01
  180.000000                 -1.045528957925E+01             2.236690566222E-01
  180.500000                 -9.746316203014E+00             2.024345959335E-01
  181.000000                 -9.103105294010E+00             1.840843135060E-01
  181.500000                 -8.516920452103E+00             1.681186236474E-01
  182.000000                 -7.980506864458E+00             1.541416009417E-01
  182.500000                 -7.487790051083E+00             1.418362026263E-01
  183.000000                 -7.033645233871E+00             1.309461347661E-01
  183.500000                 -6.613718742097E+00             1.212624016944E-01
  184.000000                 -6.224288254763E+00             1.126132058002E-01
  184.500000                 -5.862152372496E+00             1.048562768154E-01
  185.000000                 -5.524542581452E+00             9.787298499339E-02
  185.500000                 -5.209052485603E+00             9.156377935268E-02
  186.000000                 -4.913580481113E+00             8.584462077443E-02
  186.500000                 -4.636282985629E+00             8.064416951126E-02
  187.000000                 -4.375536022876E+00             7.590155011849E-02
  187.500000                 -4.129903471638E+00             7.156456219624E-02
  188.000000                 -3.898110668285E+00             6.758823814090E-02
  188.500000                 -3.679022338579E+00             6.393367307254E-02
  189.000000                 -3.471624052519E+00             6.056706978178E-02
  189.500000                 -3.275006563081E+00             5.745895469658E-02
  190.000000                 -3.088352518903E+00             5.458353074523E-02
  190.500000                 -2.910925141465E+00             5.191814046464E-02
  191.000000                 -2.742058536068E+00             4.944281840091E-02
  191.500000                 -2.581149368059E+00             4.713991622515E-02
  192.000000                 -2.427649685019E+00             4.499378737095E-02
  192.500000                 -2.281060704995E+00             4.299052063295E-02
  193.000000                 -2.140927422416E+00             4.111771422835E-02
  193.500000                 -2.006833908830E+00             3.936428344702E-02
  194.000000                 -1.878399206223E+00             3.772029630241E-02
  194.500000                 -1.755273727567E+00             3.617683262006E-02
  195.000000                 -1.637136092954E+00             3.472586282015E-02
  195.500000                 -1.523690341056E+00             3.336014331012E-02
  196.000000                 -1.414663464967E+00             3.207312593631E-02
  196.500000                 -1.309803229241E+00             3.085887937586E-02
  197.000000                 -1.208876231393E+00             2.971202070287E-02
  197.500000                 -1.111666176509E+00             2.862765565102E-02
  198.000000                 -1.017972338124E+00             2.760132633253E-02
  198.500000                 -9.276081823217E-01             2.662896536812E-02
  199.000000                 -8.404001352115E-01             2.570685554527E-02
  199.500000                 -7.561864766598E-01             2.483159425614E-02
  200.000000                 -6.748163454261E-01             2.400006207873E-02
  200.500000                 -5.961488428427E-01             2.320939495871E-02
  201.000000                 -5.200522238308E-01             2.245695952788E-02
  201.500000                 -4.464031654841E-01             2.174033116151E-02
  202.000000                 -3.750861046809E-01             2.105727443266E-02
  202.500000                 -3.059926372399E-01             2.040572566880E-02
  203.000000                 -2.390209720536E-01             1.978377735625E-02
  203.500000                 -1.740754344146E-01             1.918966417208E-02
  204.000000                 -1.110660134437E-01             1.862175045218E-02
  204.500000                 -4.990794911398E-02             1.807851892926E-02
  205.000000                  9.478645109525E-03             1.755856059579E-02
  205.500000                  6.716912754959E-02             1.706056556518E-02
  206.000000                  1.232346446516E-01             1.658331482056E-02
  206.500000                  1.777424211663E-01             1.612567275393E-02
  207.000000                  2.307560266677E-01             1.568658041023E-02
  207.500000                  2.823356206283E-01             1.526504936139E-02
  208.000000                  3.325381780371E-01             1.486015614400E-02
  208.500000                  3.814176973388E-01             1.447103720215E-02
  209.000000                  4.290253922911E-01             1.409688428363E-02
  209.500000                  4.754098691698E-01             1.373694024370E-02
  210.000000                  5.206172906136E-01             1.339049521566E-02
  210.500000                  5.646915272679E-01             1.305688311205E-02
  211.000000                  6.076742982739E-01             1.273547842422E-02
  211.500000                  6.496053015504E-01             1.242569329162E-02
  212.000000                  6.905223347217E-01             1.212697481501E-02
  212.500000                  7.304614074663E-01             1.183880259083E-02
  213.000000                  7.694568459885E-01             1.156068644603E-02
  213.500000                  8.075413902495E-01             1.129216435495E-02
  214.000000                  8.447462845365E-01             1.103280052189E-02
  214.500000                  8.811013618968E-01             1.078218361422E-02
  215.000000                  9.166351229161E-01             1.053992513289E-02
  215.500000                  9.513748092780E-01             1.030565790813E-02
  216.000000                  9.853464725039E-01             1.007903470955E-02
  216.500000                  1.018575038238E+00             9.859726960748E-03
  217.000000                  1.051084366408E+00             9.647423549561E-03
  217.500000                  1.082897307573E+00             9.441829725932E-03
  218.000000                  1.114035755730E+00             9.242666080058E-03
  218.500000                  1.144520697844E+00             9.049667594231E-03
  219.000000                  1.174372260324E+00             8.862582762348E-03
  219.500000                  1.203609752682E+00             8.681172771641E-03
  220.000000                  1.232251708550E+00             8.505210741630E-03
  220.500000                  1.260315924257E+00             8.334481015792E-03
  221.000000                  1.287819495125E+00             8.168778501802E-03
  221.500000                  1.314778849640E+00             8.007908056577E-03
  222.000000                  1.341209781647E+00             7.851683912687E-03
  222.500000                  1.367127480696E+00             7.699929142978E-03
  223.000000                  1.392546560663E+00             7.552475160514E-03
  223.500000                  1.417481086758E+00             7.409161251230E-03
  224.000000                  1.441944601032E+00             7.269834136834E-03
  224.500000                  1.465950146468E+00             7.134347565780E-03
  225.000000                  1.489510289756E+00             7.002561930236E-03
  225.500000                  1.512637142834E+00             6.874343907203E-03
  226.000000                  1.535342383267E+00             6.749566122040E-03
  226.500000                  1.557637273540E+00             6.628106832830E-03
  227.000000                  1.579532679335E+00             6.509849634101E-03
  227.500000                  1.601039086848E+00             6.394683178582E-03
  228.000000                  1.622166619207E+00             6.282500915731E-03
  228.500000                  1.642925052047E+00             6.173200845902E-03
  229.000000                  1.663323828289E+00             6.066685289081E-03
  229.500000                  1.683372072168E+00             5.962860667223E-03
  230.000000                  1.703078602565E+00             5.861637299274E-03
  230.500000                  1.722451945666E+00             5.762929208044E-03
  231.000000                  1.741500347005E+00             5.666653938162E-03
  231.500000                  1.760231782909E+00             5.572732384370E-03
  232.000000                  1.778653971396E+00             5.481088629522E-03
  232.500000                  1.796774382539E+00             5.391649791638E-03
  233.000000                  1.814600248343E+00             5.304345879451E-03
  233.500000                  1.832138572152E+00             5.219109655917E-03
  234.000000                  1.849396137604E+00             5.135876509181E-03
  234.500000                  1.866379517186E+00             5.054584330542E-03
  235.000000                  1.883095080375E+00             4.975173398984E-03
  235.500000                  1.899549001415E+00             4.897586271876E-03
  236.000000                  1.915747266740E+00             4.821767681464E-03
  236.500000                  1.931695682053E+00             4.747664436808E-03
  237.000000                  1.947399879096E+00             4.675225330836E-03
  237.500000                  1.962865322113E+00             4.604401052222E-03
  238.000000                  1.978097314026E+00             4.535144101789E-03
  238.500000                  1.993101002346E+00             4.467408713187E-03
  239.000000                  2.007881384818E+00             4.401150777590E-03
  239.500000                  2.022443314827E+00             4.336327772183E-03
  240.000000                  2.036791506573E+00             4.272898692226E-03
  240.500000                  2.050930540018E+00             4.210823986482E-03
  241.000000                  2.064864865628E+00             4.150065495836E-03
  241.500000                  2.078598808919E+00             4.090586394908E-03
  242.000000                  2.092136574806E+00             4.032351136511E-03
  242.500000                  2.105482251773E+00             3.975325398782E-03
  243.000000                  2.118639815876E+00             3.919476034851E-03
  243.500000                  2.131613134579E+00             3.864771024903E-03
  244.000000                  2.144405970431E+00             3.811179430509E-03
  244.500000                  2.157021984597E+00             3.758671351101E-03
  245.000000                  2.169464740253E+00             3.707217882471E-03
  245.500000                  2.181737705834E+00             3.656791077205E-03
  246.000000                  2.193844258165E+00             3.607363906925E-03
  246.500000                  2.205787685458E+00             3.558910226270E-03
  247.000000                  2.217571190204E+00             3.511404738502E-03
  247.500000                  2.229197891942E+00             3.464822962675E-03
  248.000000                  2.240670829928E+00             3.419141202267E-03
  248.500000                  2.251992965695E+00             3.374336515219E-03
  249.000000                  2.263167185527E+00             3.330386685294E-03
  249.500000                  2.274196302825E+00             3.287270194698E-03
  250.000000                  2.285083060395E+00             3.244966197902E-03
  250.500000                  2.295830132646E+00             3.203454496595E-03
  251.000000                  2.306440127707E+00             3.162715515725E-03
  251.500000                  2.316915589465E+00             3.122730280567E-03
  252.000000                  2.327258999532E+00             3.083480394765E-03
  252.500000                  2.337472779133E+00             3.044948019310E-03
  253.000000                  2.347559290933E+00             3.007115852407E-03
  253.500000                  2.357520840797E+00             2.969967110171E-03
  254.000000                  2.367359679480E+00             2.933485508150E-03
  254.500000                  2.377078004267E+00             2.897655243588E-03
  255.000000                  2.386677960546E+00             2.862460978440E-03
  255.500000                  2.396161643333E+00             2.827887823066E-03
